TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat
4.89878,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4278486,1.211687,-1.883957,0.9994603,-0.0312609,-0.0001962424,-0.01008999
4.998974,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4282394,1.212252,-1.883883,0.9993811,-0.03397212,-0.0005939106,-0.009113799
5.109835,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4281768,1.212163,-1.883713,0.9993284,-0.03476218,-0.003145266,-0.01115984
5.210028,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4278292,1.211921,-1.88373,0.9993277,-0.03458269,-0.004140031,-0.01144899
5.310372,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4281388,1.212456,-1.883498,0.9992601,-0.03638142,-0.006355936,-0.01074491
5.421026,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4324453,1.212544,-1.882391,0.998252,-0.03688821,-0.04319376,-0.01632987
5.531775,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4399604,1.210423,-1.881496,0.9934439,-0.02477895,-0.1091437,-0.0233032
5.643143,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4471578,1.208978,-1.882095,0.9846877,-0.01812057,-0.1713247,-0.02663943
5.753969,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4528271,1.208494,-1.882673,0.9769146,-0.01592647,-0.2115308,-0.02528046
5.864981,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4541556,1.208739,-1.882648,0.9751188,-0.01758679,-0.2197865,-0.02297789
5.965501,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4538677,1.208666,-1.8818,0.9756738,-0.0169273,-0.2173071,-0.02349041
6.076177,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4532079,1.208268,-1.881047,0.9765112,-0.01591185,-0.2137066,-0.0224109
6.176547,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4527124,1.208041,-1.880485,0.9768797,-0.0162881,-0.2118891,-0.02332205
6.287696,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4524908,1.20822,-1.87977,0.9772881,-0.01710808,-0.2098579,-0.02398109
6.398152,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.452878,1.208319,-1.879099,0.9775929,-0.01802904,-0.2084989,-0.02270123
6.498144,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4529952,1.208479,-1.878807,0.9779778,-0.0185117,-0.2066677,-0.02247922
6.598446,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4524623,1.208754,-1.878394,0.9789889,-0.02031886,-0.2017454,-0.0216042
6.709373,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4489771,1.20954,-1.877375,0.9831328,-0.02488382,-0.1800966,-0.01989897
6.820189,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4395221,1.209978,-1.875917,0.9919916,-0.02785011,-0.1220181,-0.0169859
6.92039,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4249292,1.20989,-1.874642,0.9990339,-0.02672897,-0.03203029,-0.01381642
7.020827,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4047979,1.210453,-1.875974,0.9948826,-0.02859439,0.09598687,-0.01333009
7.131168,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.3811563,1.210856,-1.883795,0.9674975,-0.03232579,0.2503568,-0.01500304
7.231328,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.3608593,1.210246,-1.898316,0.9204788,-0.03403554,0.3889757,-0.0160749
7.342351,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.3465075,1.208788,-1.915456,0.8644353,-0.03220737,0.5015231,-0.01374833
7.45312,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.3408227,1.208166,-1.926138,0.8333201,-0.03625469,0.5514148,-0.01431433
7.564221,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.3383912,1.207867,-1.93323,0.8170905,-0.03692341,0.5751792,-0.01299245
7.664243,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.3375366,1.20765,-1.936738,0.8124247,-0.036466,0.5817576,-0.0139447
7.775853,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.3370727,1.208022,-1.939464,0.8099654,-0.03898352,0.5850514,-0.01230157
7.886371,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.3356248,1.20863,-1.944438,0.7981679,-0.03930727,0.6011147,-0.006635707
7.997534,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.3344715,1.208535,-1.949986,0.7855869,-0.04068272,0.6173722,-0.007060643
8.108258,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.3331631,1.207847,-1.957455,0.7664943,-0.03566383,0.6412266,-0.006563841
8.208694,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.3336581,1.207662,-1.961707,0.7554556,-0.03644792,0.6541479,-0.007004326
8.319678,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.3350748,1.208271,-1.962231,0.7547288,-0.03724772,0.6549563,-0.005414987
8.430455,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.3354303,1.208505,-1.961441,0.7569649,-0.03702862,0.6523938,-0.003949879
