"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a","FocusedObject","RayDirection_x","RayDirection_y","RayDirection_z"
"61",51.58013,"1","B6",NA,-0.2544225,-0.0526083,0.9653884,-3.0164229,13.9657486,0.8162778,20.3515149,-0.4225806,0.0149851,0.9058724,0.8588713,-25.7292342,1.6642428,-7.7096399,"B6","-0.4996513","-0.1623766","-0.8508678"
"62",51.59117,"1","B6",NA,-0.2548678,-0.0523944,0.9652826,-3.0041432,13.992011,2.1745314,61.6511205,-0.4228969,0.0147477,0.9057286,0.8452611,-25.7491483,2.0898372,14.2606351,"B6","-0.4996764","-0.1637067","-0.8505918"
"63",51.61311,"1","B6",NA,-0.2543668,-0.0520004,0.9654359,-2.9815358,13.9619651,2.1804996,32.6289274,-0.4229625,0.0142421,0.9057061,0.8162849,-25.7531035,1.8698021,6.2839902,"B6","-0.498459","-0.1618959","-0.8516465"
"64",51.63573,"1","B6",NA,-0.2537729,-0.0521104,0.9655864,-2.9878472,13.9268085,3.6504791,48.3043933,-0.4234839,0.0141043,0.9054646,0.8083855,-25.7860354,2.3809446,-41.6083918,"B6","-0.4969874","-0.1617588","-0.8525316"
"65",51.64764,"1","B6",NA,-0.2533744,-0.0522884,0.9656813,-2.9980621,13.9033059,4.0271085,73.4565231,-0.4235535,0.0142005,0.9054305,0.8138992,-25.7904804,1.1207033,NA,"B6","-0.4974514","-0.1618858","-0.8522447"
"66",51.66969,"1","B6",NA,-0.2517404,-0.0531308,0.966063,-3.0464078,13.8070365,6.569255,32.270686,-0.4236626,0.0147642,0.9053704,0.8462074,-25.7976033,NA,NA,"B6","-0.4978246","-0.1660062","-0.8512323"
"67",51.69162,"1","B6",NA,-0.250505,-0.0529606,0.966393,-3.03664,13.7336519,5.4563356,5.4783326,-0.423642,0.0143945,0.905386,0.8250209,-25.7961549,1.2023205,NA,"B6","-0.4968595","-0.1619307","-0.8525745"
"68",51.71402,"1","B6",NA,-0.2487549,-0.0531781,0.9668331,-3.0491242,13.6300824,6.8385362,20.1134875,-0.4232587,0.0144466,0.9055645,0.8280057,-25.7719198,2.2825198,48.0451241,"B6","-0.4972475","-0.1613865","-0.8524522"
"69",51.73627,"1","B6",NA,-0.2471308,-0.0530323,0.9672575,-3.0407526,13.5337472,6.3606416,-9.6910818,-0.4224743,0.0142662,0.9059335,0.8176646,-25.7222317,3.347562,48.9902496,"B6","-0.4983118","-0.1572081","-0.8526078"
"70",51.75843,"1","B6",NA,-0.2456717,-0.0525877,0.9676534,-3.0152396,13.446987,6.4070944,-37.8918041,-0.4218042,0.0137735,0.9062534,0.7894245,-25.6796729,4.4580757,24.1313421,"B6","-0.4975173","-0.1573224","-0.8530643"
"71",51.7803,"1","B6",NA,-0.2443423,-0.0513936,0.9680541,-2.9467096,13.3673833,4.703862,NA,-0.4207708,0.0126403,0.9067501,0.7244688,-25.6139591,4.4175998,-62.3436344,"B6","-0.4968673","-0.1560237","-0.8536677"
"72",51.80242,"1","B6",NA,-0.244787,-0.0510912,0.9679577,-2.9293595,13.3934811,NA,NA,-0.4207183,0.012416,0.9067776,0.7116138,-25.6105671,1.700456,-2.5635103,"B6","-0.4938548","-0.164769","-0.8537736"
"73",51.82435,"1","B6",NA,-0.2441441,-0.051371,0.9681052,-2.9454165,13.3556395,3.0430049,NA,-0.4198494,0.012853,0.9071741,0.7366599,-25.5558245,4.2818253,68.9019924,"B6","-0.4914084","-0.1651658","-0.8551159"
"74",51.84655,"1","B6",NA,-0.24322,-0.0514967,0.9683314,-2.9526278,13.3010439,3.4502823,-13.5192317,-0.4187607,0.0131514,0.907673,0.753768,-25.4871808,4.7279229,13.1025598,"B6","-0.4871168","-0.1650542","-0.8575904"
"75",51.86866,"1","B6",NA,-0.2427783,-0.0519797,0.9684161,-2.9803478,13.2752735,2.4468356,11.1472023,-0.4178757,0.0138321,0.9080706,0.7927832,-25.4315708,4.863029,32.7393664,"B6","-0.4923177","-0.1521651","-0.8570014"
"76",51.89076,"1","B6",NA,-0.2418369,-0.0518579,0.9686584,-2.9733545,13.2194913,3.9425348,17.9430161,-0.4165194,0.01395,0.9086917,0.7995385,-25.3460682,6.175064,48.5624289,"B6","-0.4902408","-0.1623443","-0.8563197"
"77",51.91294,"1","B6",NA,-0.2409377,-0.051568,0.9688977,-2.956718,13.1660968,3.2373735,-21.1352227,-0.4148948,0.0139784,0.9094342,0.8011694,-25.2436861,7.0125089,32.5010449,"B6","-0.4908544","-0.1565456","-0.8570517"
"78",51.93511,"1","B6",NA,-0.2402457,-0.0515774,0.9690692,-2.9572605,13.125185,3.0050811,23.1597611,-0.4132308,0.0143545,0.9101856,0.8227287,-25.1390328,7.6165379,42.7218553,"B6","-0.4922817","-0.1570899","-0.8561398"
"79",51.95732,"1","B6",NA,-0.2395321,-0.0511884,0.9692665,-2.9349358,13.0827128,4.2665492,76.0762682,-0.4112293,0.0144132,0.9110908,0.8260926,-25.013122,8.9091239,47.4359849,"B6","-0.4907115","-0.1541977","-0.8575688"
"80",51.9796,"1","B6",NA,-0.238534,-0.0498855,0.9695804,-2.8601677,13.0227932,6.3910638,52.6862372,-0.4090085,0.0135516,0.9121031,0.7767077,-24.8732332,9.7262115,5.8605335,"B6","-0.4935131","-0.1399954","-0.8583816"
"81",52.00171,"1","B6",NA,-0.2378746,-0.0483772,0.9698188,-2.773624,12.9827851,6.612545,0.6539102,-0.4071061,0.0124407,0.9129696,0.713032,-24.7534155,9.1745112,-21.3001522,"B6","-0.4895641","-0.1465328","-0.8595497"
"82",52.02415,"1","B6",NA,-0.236613,-0.0470367,0.9701934,-2.6967071,12.9073641,6.4171056,-34.1127036,-0.4051002,0.0114357,0.9138746,0.6554253,-24.6272838,8.778495,-33.5160917,"B6","-0.489246","-0.1415253","-0.8605769"
"83",52.04625,"1","B6",NA,-0.235637,-0.0463846,0.9704621,-2.6592976,12.8493099,5.1018023,-9.9123525,-0.4032979,0.01112,0.9146753,0.6373347,-24.5142464,7.6870997,-38.6195642,"B6","-0.4897482","-0.1383044","-0.8608165"
"84",52.06849,"1","B6",NA,-0.233969,-0.0463389,0.9708677,-2.6566754,12.7508232,5.9845364,6.4071334,-0.4014852,0.0113204,0.9154699,0.6488196,-24.4008072,7.0676106,-8.7530771,"B6","-0.4795275","-0.1353571","-0.8670073"
"85",52.09033,"1","B6",NA,-0.2328211,-0.0465238,0.9711351,-2.6672805,12.6832046,5.3975424,NA,-0.4001825,0.0116937,0.9160354,0.6702169,-24.3194086,7.2936234,-181.9855467,"B6","-0.4742951","-0.1319414","-0.8704082"
"86",52.10167,"1","B6",NA,-0.2327144,-0.0463927,0.9711668,-2.659761,12.6768269,NA,NA,-0.3995655,0.0117127,0.9163045,0.6713027,-24.2808263,3.0488384,-207.2244821,"B6","-0.4691757","-0.1313009","-0.8732867"
"87",52.12379,"1","B6",NA,-0.2329026,-0.0463965,0.9711216,-2.659978,12.6879328,1.5276601,NA,-0.3992739,0.0118245,0.9164301,0.6777092,-24.2626277,2.1611783,-10.8595607,"B6","-0.466432","-0.1360357","-0.8740178"
"88",52.13504,"1","B6",NA,-0.2328186,-0.0461692,0.9711525,-2.6469369,12.6828316,1.1914862,NA,-0.3988693,0.0116904,0.916608,0.6700231,-24.2372968,2.3682928,12.6184093,"B6","-0.4554409","-0.1634595","-0.8751147"
"89",52.15692,"1","B6",NA,-0.2333705,-0.0460724,0.9710244,-2.6413848,12.7153373,NA,NA,-0.3984481,0.0117895,0.9167899,0.6757032,-24.2109981,2.5176597,60.6769306,"B6","-0.4653862","-0.1386705","-0.8741729"
"90",52.17937,"1","B6",NA,-0.233309,-0.0458511,0.9710498,-2.628691,12.7115632,2.455084,NA,-0.3975033,0.0118108,0.9171997,0.676927,-24.1519723,5.0887958,113.5459258,"B6","-0.4597549","-0.1545774","-0.8744714"
"91",52.20174,"1","B6",NA,-0.232216,-0.0450146,0.9713509,-2.5806976,12.6465627,5.0790847,73.0787563,-0.395801,0.0112541,0.9179426,0.6450186,-24.0455126,7.6068666,120.6714008,"B6","-0.4592498","-0.1545226","-0.8747566"
