"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"91",30.80008,"1",NA,1,0.0533062,-0.0081441,-0.9958027,-0.4679083,1.8839616,24.5382811,253.4519436,0.0205196,-0.0110288,-0.9937358,-0.6357228,2.879988,34.3040807,299.069263
"92",30.82238,"1",NA,1,0.0461177,-0.0064009,-0.9961743,-0.3677526,2.2975251,30.6535442,270.6122153,0.0304434,-0.0101993,-0.9934902,-0.587907,3.4522158,41.075704,306.3704219
"93",30.84449,"1",NA,1,0.0374416,-0.0047289,-0.9965474,-0.2716902,2.7964669,36.5568564,285.5028389,0.0421011,-0.0096957,-0.9930695,-0.5588788,4.1246541,47.9094762,330.1899628
"94",30.86668,"1",NA,1,0.0271605,-0.0025126,-0.9968886,-0.1443571,3.3874796,43.3028004,291.4390046,0.0555587,-0.0089497,-0.9924146,-0.5158795,4.9013211,55.7048081,344.9958744
"95",30.88895,"1",NA,1,0.0151343,0.0008836,-0.9971465,0.0507636,4.0785864,49.513229,243.7096219,0.0714652,-0.0074229,-0.9914087,-0.4278703,5.8200636,63.2474885,257.6404245
"96",30.91135,"1",NA,1,0.0020708,0.0044267,-0.9972498,0.2543263,4.829154,54.1847384,190.2480046,0.0883965,-0.0060366,-0.9900521,-0.3479578,6.7991661,67.2030691,143.999951
"97",30.93341,"1",NA,1,-0.0123095,0.0076986,-0.9971561,0.4423154,5.6553913,57.9778778,122.630591,0.1059083,-0.0051523,-0.9883372,-0.2969836,7.8134197,69.6608064,99.7020346
"98",30.95556,"1",NA,1,-0.0268801,0.0118666,-0.9968288,0.6817865,6.4927698,59.6017984,73.4670563,0.1239557,-0.0035931,-0.9862432,-0.2071082,8.8606989,71.6098422,102.9598165
"99",30.9777,"1",NA,1,-0.0416658,0.0169203,-0.9962473,0.9721714,7.343,61.2317322,58.1902854,0.1422043,-0.0013188,-0.9837834,-0.0760155,9.9221023,74.220747,141.7792165
"100",30.99998,"1",NA,1,-0.0569712,0.021905,-0.9953921,1.2586121,8.223876,62.1844508,9.9198763,0.1620537,0.0003916,-0.98071,0.0225744,11.0798933,77.9110143,83.164993
"101",31.02225,"1",NA,1,-0.0718935,0.0275278,-0.994286,1.5817594,9.083798,61.6739911,-20.6464626,0.1815291,0.0025955,-0.9772891,0.1496078,12.2196856,77.9265721,110.8124245
"102",31.04449,"1",NA,1,-0.0864022,0.0336458,-0.9929419,1.93342,9.9212728,61.2654085,16.4238631,0.2013835,0.0049286,-0.9733828,0.2840893,13.3860855,82.8399719,314.8438857
"103",31.06664,"1",NA,1,-0.1008086,0.0396786,-0.9913598,2.2802579,10.7544193,62.3999148,583.2506802,0.2238546,0.0060396,-0.9684556,0.3481325,14.7121647,91.8940396,949.6717234
"104",31.08887,"1",NA,1,-0.1160053,0.0466581,-0.9893921,2.6816298,11.6354736,87.1926362,-526.5539341,0.2478486,0.007278,-0.962586,0.4195143,16.1360566,125.0296758,-1337.1807917
"105",31.10027,"1",NA,1,-0.1244566,0.0499325,-0.9882046,2.8699744,12.1262931,62.4729904,-532.3355455,0.2594766,0.0077789,-0.9595129,0.4483908,16.8293436,77.5493198,-1710.9770109
"106",31.1221,"1",NA,1,-0.1443873,0.0553173,-0.9852022,3.1797851,13.2858164,86.5671738,756.2217335,0.2822326,0.0081033,-0.9530649,0.4670897,18.1927439,93.7687803,394.338356
"107",31.14437,"1",NA,1,-0.1687123,0.0594454,-0.9810879,3.417348,14.7055401,95.6694701,765.4069903,0.305801,0.0075699,-0.9457706,0.4363414,19.6149081,94.7862348,616.5330805
"108",31.16655,"1",NA,1,-0.1919215,0.0632003,-0.9765772,3.6334904,16.0664748,120.5574131,-1741.1748568,0.3282462,0.0068728,-0.9382222,0.3961605,20.9799447,121.1222996,-1568.7041518
"109",31.17778,"1",NA,1,-0.2025901,0.0650588,-0.9742975,3.7404838,16.6945177,68.8495618,-2154.6958492,0.3390788,0.0064199,-0.934365,0.3700555,21.642768,72.5549389,-1933.9696193
"110",31.19999,"1",NA,1,-0.2220122,0.0687809,-0.9697994,3.9548162,17.8424311,75.402565,-111.9323677,0.359333,0.0056042,-0.9267697,0.3230345,22.8896798,82.701533,59.1041609
"111",31.22212,"1",NA,1,-0.2387071,0.0723972,-0.9655613,4.1631058,18.8344193,63.919039,-143.4724502,0.3781429,0.0044328,-0.9192616,0.2555131,24.0571176,75.2074369,15.1390972
"112",31.24427,"1",NA,1,-0.2518906,0.0757494,-0.961948,4.3562313,19.6218411,69.0571137,-1153.9651279,0.3939691,0.003313,-0.9125958,0.1909635,25.0469923,83.3789678,-1510.1654387
"113",31.2558,"1",NA,1,-0.2578594,0.0769998,-0.960266,4.428283,19.9791273,39.7720954,-861.0297573,0.4005426,0.0028338,-0.9097314,0.1633433,25.4603115,44.3009297,-1302.3774108
"114",31.27761,"1",NA,1,-0.2690139,0.0795111,-0.9569955,4.5730154,20.6489431,57.6091421,-904.5438213,0.4121754,0.0025013,-0.9045213,0.1441778,26.1950286,61.4107423,-995.7743624
"115",31.2888,"1",NA,1,-0.2731083,0.080769,-0.9557297,4.6455176,20.8958914,28.2138442,-1297.8746245,0.4163166,0.0028259,-0.9026218,0.1628888,26.4576425,30.346825,-1280.3486601
"116",31.31096,"1",NA,1,-0.2807312,0.0834732,-0.9532855,4.8014135,21.3572058,28.904713,-180.9205238,0.4251228,0.0030741,-0.898507,0.1771925,27.0179283,35.1188776,-44.9148665
"117",31.33336,"1",NA,1,-0.2852918,0.0863424,-0.9516747,4.9668576,21.6357399,20.1011224,-298.8401312,0.4321012,0.0034067,-0.8951707,0.1963665,27.4637778,28.2829561,-274.7452406
"118",31.35545,"1",NA,1,-0.2888654,0.08834,-0.9504125,5.0820705,21.8540903,15.5801206,-28.8160989,0.4377743,0.0032085,-0.8924108,0.1849424,27.8274333,22.8860286,-18.9118166
"119",31.37746,"1",NA,1,-0.2914551,0.0903255,-0.9494347,5.1966007,22.0134417,18.8162647,-114.1687017,0.4421484,0.0034556,-0.8902508,0.1991872,28.1086269,27.4309127,-196.5978662
"120",31.38868,"1",NA,1,-0.2928289,0.0920043,-0.9488505,5.2934593,22.099108,14.6046354,-44.2405059,0.4450909,0.0038324,-0.8887818,0.2209047,28.2981958,20.7024188,-203.9453904
"121",31.41142,"1",NA,1,-0.2960156,0.0953148,-0.947534,5.4845015,22.2972634,21.1284462,568.5954152,0.45064,0.004944,-0.8859756,0.2849808,28.6566335,25.0638765,262.5072906
"122",31.43322,"1",NA,1,-0.3026258,0.0967515,-0.9452977,5.5674335,22.6999804,39.6650693,-2.6409115,0.456522,0.0052295,-0.8829575,0.3014369,29.0377125,32.3280256,-461.2392282
"123",31.44456,"1",NA,1,-0.3073084,0.0964734,-0.9438143,5.5513799,22.9835157,29.9627282,-575.0760309,0.4588811,0.0053305,-0.8817331,0.3072601,29.1909159,18.0884295,-476.140821
"124",31.46667,"1",NA,1,-0.3154306,0.0963366,-0.9411449,5.5434817,23.477031,23.4498645,-418.8537891,0.4642271,0.005005,-0.8789322,0.2884977,29.5388053,24.7969277,175.4987424
"125",31.48882,"1",NA,1,-0.3160156,0.098732,-0.9407004,5.6817639,23.5172068,11.419288,-181.8712582,0.470245,0.0033745,-0.875735,0.1945101,29.9316009,25.8508872,-103.1146753
"126",31.51087,"1",NA,1,-0.3134103,0.1022576,-0.9411952,5.88536,23.3654693,15.3750279,1.344437,0.4752488,0.0022194,-0.8730334,0.1279265,30.2593796,20.2543288,-173.8509147
"127",31.53303,"1",NA,1,-0.3115856,0.1046398,-0.9415391,6.0229688,23.2591725,11.4591396,-301.6035265,0.4786239,0.0013982,-0.8711893,0.0805954,30.4810716,18.173734,-559.5798553
"128",31.54422,"1",NA,1,-0.3118837,0.1047752,-0.9414254,6.0307914,23.2775861,6.6866349,88.1400397,0.4795616,0.0009475,-0.8706741,0.0546168,30.5427426,6.7009621,-738.1215445
