"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"58",48.3861,1.882784,1.84111,-2.104671,0.621201,-0.7816021,0.01893959,0.05337524,283.3232,195.0676,170.8344,"Calibration","B5",NA,0.844480342,0.704074074,-0.505373789,-0.0950085,0.0149897,-0.9935834,0.8604043,0.1779749,1.5308702,7.9634859,0.1074978,0.0148757,-0.9934106,0.8529275,0.2130991,1.0766861,2.6043827
"59",48.40834,1.882853,1.841181,-2.104437,0.6213825,-0.7814786,0.01941273,0.05289685,283.2827,194.7638,171.1375,"Calibration","B5",NA,0.884980342,0.400274074,-0.202273789,-0.0951581,0.015367,-0.9935632,0.8820598,0.1866385,1.2693115,-7.6336226,0.1073241,0.0153889,-0.9934216,0.8823534,0.2031289,1.8985021,-2.5839546
"60",48.43059,1.882815,1.841221,-2.104138,0.6215266,-0.7813631,0.01935998,0.05292941,283.2635,194.8109,171.0887,"Calibration","B5",NA,0.904180342,0.447374074,-0.251073789,-0.0951037,0.0157393,-0.9935626,0.9034347,0.1835281,1.1912916,-14.0552964,0.1073189,0.0157492,-0.9934165,0.903016,0.2028603,0.9613306,-23.770524
"61",48.45272,1.882768,1.841213,-2.103981,0.6215494,-0.7813292,0.01904991,0.0532739,283.27,195.041,170.8615,"Calibration","B5",NA,0.897680342,0.677474074,-0.478273789,-0.0950319,0.015859,-0.9935676,0.9103056,0.179402,0.6468033,9.1430735,0.1074886,0.0157756,-0.9933977,0.9045281,0.2126523,0.8413643,16.1529114
"62",48.47515,1.882748,1.841239,-2.103984,0.6214277,-0.7814142,0.01909718,0.05343045,283.2884,195.0716,170.8476,"Calibration","B5",NA,0.879280342,0.708074074,-0.492173789,-0.0953056,0.0155806,-0.9935458,0.8943241,0.1951617,1.6088311,42.1174625,0.1077867,0.0154672,-0.9933703,0.8868407,0.2298176,1.6875765,34.65563
"63",48.49714,1.882735,1.841208,-2.103946,0.6212766,-0.781532,0.01925367,0.05340831,283.3068,194.9964,170.9339,"Calibration","B5",NA,0.860880342,0.632874074,-0.405873789,-0.0955367,0.0151944,-0.9935296,0.8721512,0.2084518,2.518001,4.6986904,0.1079352,0.0150969,-0.9933599,0.8656097,0.238347,2.3821187,8.0000009
"64",48.50888,1.882775,1.841244,-2.103919,0.6211854,-0.7815949,0.01932676,0.05352129,283.3198,195.0064,170.9391,"Calibration","B5",NA,0.847880342,0.642874074,-0.400673789,-0.0957958,0.0149856,-0.9935077,0.8601708,0.223377,2.1429395,-10.6408921,0.1081969,0.0148697,-0.9933348,0.8525795,0.2534193,2.1991572,-9.9295502
"65",48.53075,1.882824,1.841279,-2.104018,0.6208791,-0.7818348,0.01949813,0.05351064,283.3602,194.9114,171.0475,"Calibration","B5",NA,0.807480342,0.547874074,-0.292273789,-0.096076,0.014207,-0.9934922,0.8154731,0.2394767,2.3761947,NA,0.108375,0.014107,-0.9933265,0.808849,0.263625,2.1056707,-21.8426173
"66",48.55265,1.882819,1.841133,-2.103846,0.6208575,-0.7818522,0.01943824,0.05352714,283.3647,194.9329,171.0225,"Calibration","B5",NA,0.802980342,0.569374074,-0.317273789,-0.0960036,0.0141541,-0.9934998,0.8124397,0.2352944,NA,NA,0.1083278,0.0140447,-0.9933326,0.8052744,0.2608919,1.2425788,NA
"67",48.56392,1.882806,1.841085,-2.103789,0.620835,-0.781879,0.01948016,0.05338197,283.3654,194.8614,171.0856,"Calibration","B5",NA,0.802280342,0.497874074,-0.254173789,-0.095895,0.0140691,-0.9935116,0.8075601,0.229024,1.0023062,NA,0.1081491,0.0139942,-0.9933527,0.8023815,0.2505821,NA,NA
"68",48.58596,1.882856,1.841107,-2.103675,0.6209007,-0.7818301,0.01946476,0.05333984,283.3558,194.8581,171.0841,"Calibration","B5",NA,0.811880342,0.494574074,-0.255673789,-0.0958145,0.0142278,-0.9935171,0.8166687,0.2243985,1.002642,5.994686,0.108066,0.0141607,-0.9933594,0.8119245,0.2458072,0.6744754,NA
"69",48.6083,1.882866,1.841041,-2.103602,0.6209316,-0.7817959,0.01891716,0.0536777,283.3657,195.1559,170.7692,"Calibration","B5",NA,0.801980342,0.792374074,-0.570573789,-0.0953614,0.0143629,-0.9935588,0.8244233,0.1982752,1.2701442,NA,0.1079354,0.0141842,-0.9933733,0.8132761,0.2382716,0.603493,15.4999214
"70",48.6306,1.882909,1.841115,-2.103409,0.6209866,-0.7817559,0.0191042,0.05355719,283.3529,195.0608,170.8697,"Calibration","B5",NA,0.814780342,0.697274074,-0.470073789,-0.0955049,0.0144826,-0.9935432,0.8312939,0.2065593,NA,NA,0.1079754,0.0143421,-0.9933667,0.8223268,0.2405963,1.3656448,22.776592
"71",48.64185,1.882956,1.841109,-2.103311,0.6210403,-0.7817292,0.01915619,0.05330543,283.3413,194.9549,170.9592,"Calibration","B5",NA,0.826380342,0.591374074,-0.380573789,-0.0952768,0.0145709,-0.9935639,0.83636,0.1934173,1.323322,NA,0.1076434,0.0144868,-0.9934006,0.830624,0.2214587,1.4936245,NA
"72",48.66455,1.883051,1.841136,-2.10314,0.621133,-0.7816587,0.01926798,0.05321895,283.3249,194.9,171.016,"Calibration","B5",NA,0.842780342,0.536474074,-0.323773789,-0.0953405,0.0147919,-0.9935545,0.849051,0.197106,0.3530302,-16.72607,0.1076455,0.0147347,-0.9933967,0.8448424,0.2216019,NA,NA
