"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"49",36.75496,1.91152,1.931294,-2.089752,-0.5604109,0.8187762,0.04424691,-0.116565,294.8533,214.9006,151.1026,"Calibration","B5",NA,-0.053315,0.0205954,-0.9704877,1.2139044,1.3963073,7.2915563,127.9166396,0.1443294,0.0153342,-0.967714,0.8978939,1.6593249,9.4918207,178.9573353
"50",36.77757,1.911878,1.931256,-2.090158,-0.5598117,0.8194603,0.04367329,-0.1148403,294.8439,214.3575,151.5499,"Calibration","B5",NA,-0.0526151,0.0186913,-0.9705644,1.1016596,1.3548624,10.1694161,-129.19228,0.1419705,0.0140603,-0.9680823,0.8232918,1.5195194,14.0468349,-148.4872318
"51",36.78884,1.911963,1.931263,-2.090373,-0.5596613,0.8196847,0.04359397,-0.1139988,294.8307,214.1408,151.7031,"Calibration","B5",NA,-0.051907,0.0180758,-0.9706141,1.0653772,1.3130288,5.8229471,-117.3092061,0.1406433,0.0137822,-0.96828,0.807007,1.4409436,8.4294767,-161.7567921
"52",36.81137,1.912021,1.931304,-2.090521,-0.5593899,0.8200727,0.0434979,-0.1125685,294.8123,213.7747,151.9582,"Calibration","B5",NA,-0.050643,0.0169936,-0.9707005,1.0015867,1.2383521,9.2260756,-24.0235993,0.1383453,0.0132703,-0.9686181,0.7770349,1.3049337,12.3704477,-102.5653966
"53",36.82267,1.912048,1.931297,-2.090631,-0.5592749,0.8202196,0.04370262,-0.1119888,294.8149,213.6561,152.0117,"Calibration","B5",NA,-0.0497375,0.0165199,-0.9707555,0.9736632,1.1848817,6.9762913,30.6145299,0.1371572,0.0130645,-0.9687899,0.7649815,1.2346371,8.075862,-59.7971509
"54",36.84514,1.912023,1.931245,-2.090806,-0.5586739,0.8207555,0.04403542,-0.1109272,294.8652,213.371,152.1814,"Calibration","B5",NA,-0.0482533,0.0147481,-0.970859,0.8692246,1.097203,12.8257944,16.5822416,0.1349333,0.0117648,-0.9691188,0.6888751,1.1029959,13.9283427,-6.7386795
"55",36.85641,1.911974,1.931288,-2.09087,-0.5581834,0.8211361,0.04423032,-0.1105014,294.9177,213.225,152.2765,"Calibration","B5",NA,-0.0476263,0.01345,-0.9709088,0.7927159,1.0601482,10.2656952,-274.160275,0.1339219,0.0106617,-0.9692718,0.6242804,1.0431055,10.8410965,-280.4954595
"56",36.86777,1.912039,1.931306,-2.090935,-0.5578806,0.8214073,0.04432111,-0.1099773,294.9406,213.0749,152.3758,"Calibration","B5",NA,-0.0470121,0.0125712,-0.9709505,0.7409196,1.0238657,6.6173174,-164.4161921,0.1329019,0.0100025,-0.9694192,0.5856834,0.9827576,7.58014,-135.3930039
"57",36.89046,1.912062,1.931294,-2.091053,-0.5575027,0.8217833,0.04462234,-0.1089574,294.9645,212.8325,152.5087,"Calibration","B5",NA,-0.0455563,0.0113445,-0.9710349,0.668617,0.9379208,6.4432314,-35.6525101,0.1308333,0.0092254,-0.9697083,0.5401801,0.860454,7.9493068,-25.5224596
"58",36.91262,1.912264,1.931085,-2.091397,-0.5574512,0.8219446,0.04465863,-0.1079853,294.9409,212.6186,152.6385,"Calibration","B5",NA,-0.0444884,0.0109243,-0.9710893,0.6438508,0.8748985,5.0331318,29.3918746,0.1291952,0.0091939,-0.9699282,0.5383334,0.763677,6.4576077,5.7321266
"59",36.93472,1.912274,1.931098,-2.091738,-0.5571578,0.8222107,0.04500042,-0.1073304,294.9682,212.4741,152.7005,"Calibration","B5",NA,-0.0433259,0.0100076,-0.9711518,0.5898158,0.8062864,7.7385343,-115.4506157,0.1276993,0.0085826,-0.9701318,0.5025357,0.6752784,8.1986279,-142.86816
"60",36.94609,1.912391,1.931007,-2.092006,-0.557009,0.8223356,0.04519586,-0.107063,294.9849,212.4177,152.7186,"Calibration","B5",NA,-0.0427686,0.0095604,-0.9711809,0.5634627,0.7733983,3.7213128,-196.0923953,0.1270225,0.0082689,-0.9702234,0.4841704,0.6352867,4.0540865,-198.9114579
"61",36.96814,1.912282,1.930937,-2.092105,-0.5567762,0.8225259,0.04530536,-0.1067654,295.0076,212.3309,152.7717,"Calibration","B5",NA,-0.0423404,0.0089173,-0.9712058,0.5255586,0.7481213,2.864292,-37.6330644,0.1263667,0.0077558,-0.9703133,0.4541267,0.5965249,3.3196583,-24.264855
"62",36.99023,1.912439,1.930815,-2.092215,-0.5566102,0.8227164,0.04514185,-0.1062314,295.0046,212.1691,152.9028,"Calibration","B5",NA,-0.0420848,0.0083872,-0.9712217,0.4943144,0.733025,2.0602387,-9.1917414,0.1256322,0.0074045,-0.9704114,0.4335584,0.5531366,2.9833975,10.2712626
"63",37.0128,1.912615,1.930659,-2.09234,-0.5565453,0.8228513,0.04484576,-0.1056502,294.9832,211.9958,153.0522,"Calibration","B5",NA,-0.0419655,0.0080927,-0.9712293,0.4769586,0.7259863,2.4668483,112.2215451,0.1249821,0.0072856,-0.9704962,0.4265938,0.5147482,3.7906098,143.5050403
"64",37.03468,1.91278,1.930579,-2.092521,-0.5562385,0.8231576,0.0448862,-0.1048597,294.9969,211.7827,153.1964,"Calibration","B5",NA,-0.0411458,0.0071403,-0.9712719,0.4208244,0.6776093,6.9834842,14.8250481,0.1235808,0.0066399,-0.9706803,0.3887846,0.4319948,9.2878558,92.3410405
"65",37.04602,1.912854,1.930514,-2.092546,-0.5560207,0.8234458,0.04446821,-0.1039255,294.9789,211.4938,153.4422,"Calibration","B5",NA,-0.0408881,0.0064004,-0.9712878,0.3772159,0.6623937,4.9788273,-79.4732302,0.1224498,0.0061868,-0.9708266,0.3622545,0.3652188,8.5330295,28.8141327
"66",37.06824,1.913184,1.930336,-2.092948,-0.5556617,0.8240638,0.0431878,-0.1014585,294.9008,210.7393,154.0974,"Calibration","B5",NA,-0.0404292,0.0049771,-0.9713155,0.2933321,0.635305,5.3750331,-2.1743718,0.1197034,0.0054854,-0.9711733,0.3211861,0.2031286,11.2925631,75.2464431
"67",37.09037,1.913228,1.930176,-2.093018,-0.555545,0.8245411,0.0417376,-0.09879166,294.7843,209.9508,154.7838,"Calibration","B5",NA,-0.0399627,0.0040922,-0.9713389,0.2411791,0.6077784,4.8841944,63.8772427,0.1168666,0.0053553,-0.9715195,0.3135646,0.0357924,11.8746143,38.9994613
"68",37.11272,1.913017,1.930023,-2.092834,-0.5555404,0.8248312,0.04135986,-0.09652845,294.7053,209.4031,155.1743,"Calibration","B5",NA,-0.0381655,0.0034962,-0.9714135,0.2060551,0.5017674,8.2352254,109.7178153,0.1135753,0.0055111,-0.9719089,0.3226875,0.1582693,13.0300527,30.5317311
"69",37.13489,1.912774,1.930017,-2.092874,-0.5554079,0.825119,0.04159464,-0.09471335,294.677,209.0148,155.3921,"Calibration","B5",NA,-0.0358867,0.0026805,-0.9715029,0.1579791,0.3673562,9.7760705,34.6503129,0.1103358,0.005359,-0.9722828,0.3137859,0.349209,13.2376968,7.7444746
"70",37.15716,1.9127,1.929935,-2.093125,-0.5551106,0.825547,0.04167535,-0.09266938,294.6578,208.5321,155.6984,"Calibration","B5",NA,-0.0336476,0.0014458,-0.9715857,0.0852116,0.2353037,9.7716002,-33.2576343,0.1068566,0.0048302,-0.9726741,0.2828196,0.5542135,13.374055,-39.5910147
"71",37.17907,1.912277,1.929932,-2.093033,-0.554661,0.8260446,0.04161058,-0.09093976,294.6625,208.0782,156.0142,"Calibration","B5",NA,-0.0320091,-3.86e-05,-0.9716421,-0.0022745,0.1386803,8.3186487,-42.8597827,0.1040141,0.0039085,-0.9729863,0.2288515,0.7216519,11.5050228,-59.1103677
"72",37.20176,1.911786,1.929964,-2.092914,-0.5544219,0.826396,0.04153783,-0.08922271,294.6418,207.6553,156.3004,"Calibration","B5",NA,-0.0303442,-0.0010194,-0.971695,-0.0600809,0.0405076,7.8783486,5.9838589,0.1012419,0.0034779,-0.9732803,0.2036424,0.8848843,10.7581644,-45.2696686
"73",37.22368,1.911279,1.929883,-2.092918,-0.5540738,0.8267493,0.04181857,-0.08797304,294.6596,207.3685,156.4603,"Calibration","B5",NA,-0.0286329,-0.0021613,-0.9717452,-0.12738,-0.0603956,8.5660392,31.4307168,0.0988356,0.0027753,-0.9735299,0.1624988,1.0265334,9.4950554,-48.6917295
"74",37.24577,1.910225,1.93005,-2.092588,-0.5534031,0.8272067,0.04256055,-0.08753684,294.755,207.2805,156.4512,"Calibration","B5",NA,-0.027123,-0.0038919,-0.971783,-0.2293762,-0.1494092,9.2616243,-6.4191343,0.0972014,0.001284,-0.9736975,0.0751819,1.1227203,8.6167598,-43.9024422
"75",37.26814,1.9095,1.930035,-2.092545,-0.5525374,0.8277034,0.04366331,-0.08776695,294.9047,207.3612,156.2992,"Calibration","B5",NA,-0.0257937,-0.0059446,-0.9718088,-0.3503524,-0.227765,8.2700303,-100.4512423,0.0962291,-0.0006902,-0.9737947,-0.0404114,1.1799346,7.5419929,-88.4469495
