"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","FocusedObject","RayOrigin_x","RayOrigin_y","RayOrigin_z","RayDirection_x","RayDirection_y","RayDirection_z","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a","eyepitch","eyeyaw"
"47",42.34173,1.856945,1.812197,-1.221362,0.05192065,0.04885787,0.9796353,-0.1877016,21.89036,174.8442,4.712636,"Calibration","B5",NA,0.406118934,0.576480607,-0.03618248,"B5","1.862662","1.713866","-1.225857","-0.0358086","-0.06870812","-0.996985",0.115779,0.0074005,0.9889842,0.4258239,0.2550416,2.3006142,-21.6942052,0.1205989,-0.0070821,0.9897164,-0.4069708,0.5901635,1.918119,-20.0946763,3.9398245,174.5194836
"48",42.36425,1.85703,1.812165,-1.221458,0.052018,0.04900663,0.979587,-0.1878878,21.91331,174.8364,4.727699,"Calibration","B5",NA,0.383168934,0.568680607,-0.02111948,"B5","1.863686","1.713869","-1.225922","-0.03732812","-0.06757449","-0.9970089",0.1160901,0.0069976,0.9889506,0.4026398,0.2370392,1.2772474,-34.0982696,0.1208326,-0.0066753,0.9896907,-0.3835945,0.5766533,1.3854393,-15.2635281,3.874712,174.6066402
"49",42.38741,1.857017,1.812246,-1.221623,0.05210387,0.04897104,0.979571,-0.1879567,21.92157,174.8254,4.721112,"Calibration","B5",NA,0.374908934,0.557680607,-0.02770648,"B5","1.863089","1.713835","-1.226021","-0.03707843","-0.06771814","-0.9970089",0.1160488,0.0068481,0.9889565,0.3940366,0.2394371,0.7502656,NA,0.1209795,-0.0065349,0.9896737,-0.37553,0.5681542,1.2262507,-4.2920968,3.8829599,174.5923111
"50",42.39891,1.857062,1.812267,-1.221697,0.05222242,0.048894,0.9795716,-0.1879404,21.91983,174.8092,4.709048,"Calibration","B5",NA,0.376648934,0.541480607,-0.03977048,"B5","1.862857","1.713814","-1.226085","-0.03530167","-0.06779737","-0.9970585",0.115947,0.0068692,0.9889681,0.3952546,0.2453327,NA,NA,0.1211803,-0.0065713,0.9896489,-0.3776193,0.5565312,1.2065769,5.5310287,3.8875468,174.4902384
"51",42.42169,1.857261,1.812302,-1.221728,0.0523397,0.04912037,0.9795416,-0.1880052,21.92915,174.8004,4.733508,"Calibration","B5",NA,0.367328934,0.532680607,-0.01531048,"B5","1.862936","1.7138","-1.226156","-0.03499186","-0.06589401","-0.9972017",0.1164265,0.0067026,0.9889129,0.3856645,0.2175638,1.6900508,NA,0.1214927,-0.0063968,0.9896117,-0.3675931,0.5384526,1.4975418,11.0864685,3.7782284,174.4721689
"52",42.44443,1.857394,1.812309,-1.221735,0.05258837,0.04923627,0.9795217,-0.1880094,21.93146,174.773,4.741713,"Calibration","B5",NA,0.365018934,0.505280607,-0.00710548,"B5","1.863657","1.713787","-1.226212","-0.03491009","-0.066218","-0.9971882",0.116748,0.0066471,0.9888756,0.3824758,0.1989407,1.8310491,30.3778695,0.1220197,-0.0063525,0.9895472,-0.3650451,0.50794,1.7113004,-0.3978541,3.7968132,174.4675036
"53",42.46698,1.857611,1.812335,-1.221723,0.05260877,0.04948924,0.9794832,-0.1881378,21.94786,174.7769,4.77143,"Calibration","B5",NA,0.348618934,0.509180607,0.02261152,"B5","1.864326","1.713777","-1.226221","-0.034075","-0.06763338","-0.9971192",0.1172357,0.0063643,0.9888197,0.3661991,0.1706902,3.0612708,5.4485896,0.1221472,-0.0060521,0.9895333,-0.3477834,0.5005687,1.4813846,-26.4803171,3.8781024,174.4197142
"54",42.47839,1.857631,1.812365,-1.221712,0.05258851,0.04969102,0.9794573,-0.188225,21.95901,174.7843,4.796054,"Calibration","B5",NA,0.337468934,0.516580607,0.04723552,"B5","1.865024","1.713752","-1.22622","-0.03446434","-0.06737303","-0.9971195",0.1176119,0.006175,0.9887762,0.3553088,0.1489037,2.5631318,13.8405564,0.1221809,-0.0058456,0.9895304,-0.3359143,0.4986289,0.9934381,-11.1559952,3.8631665,174.4420592
"55",42.49941,1.857822,1.812269,-1.221796,0.05263114,0.05005508,0.9794535,-0.1881363,21.95081,174.7874,4.839549,"Calibration","B5",NA,0.345668934,0.519680607,0.09073052,"B5","1.866074","1.713777","-1.226257","-0.03418662","-0.0676605","-0.9971162",0.1183421,0.006319,0.9886881,0.3635965,0.1065829,4.0626822,-6.108297,0.1224123,-0.0059657,0.9895011,-0.3428209,0.4852267,1.4233564,23.1858771,3.8796496,174.4261265
"56",42.51047,1.85789,1.812286,-1.221795,0.05249038,0.05028719,0.9794748,-0.1880031,21.93582,174.8095,4.871507,"Calibration","B5",NA,0.360658934,0.541780607,0.12268852,"B5","1.866684","1.713783","-1.22626","-0.03427968","-0.06746603","-0.9971214",0.1187486,0.0065917,0.9886378,0.3792848,0.0830152,3.1385549,-83.1033949,0.1222398,-0.0062098,0.9895209,-0.3568483,0.4952005,1.7100198,13.4812447,3.8685001,174.4314573
