Time,X,Y,Z,wquat,xquat,yquat,zquat,xrot,yrot,zrot,,,,,,130.4695428,-16.75916874,22.05932882,,v_roll,v_pitch,v_yaw,V,,vxavg,vyavg,vzavg,avg speed,,Phase,GFO,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9211445,1.911744,1.788858,-2.200952,0.3260748,-0.937032,0.1030133,-0.07095531,323.3828,165.5597,197.348,,143.3828,-14.4403,17.348,,-12.91325721,2.318868736,-4.711328825,,-0.5245768,2.015431667,-3.14213357,3.769635127,,0.630484799,-0.05680209,-0.897176963,1.09802735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9326206,1.91172,1.788921,-2.200926,0.3260129,-0.9371066,0.1026794,-0.07073688,323.381,165.6057,197.2915,,143.381,-14.3943,17.2915,,-12.91145721,2.364868736,-4.767828825,,-0.541944971,5.49084865,-5.699435414,7.932634322,,0.736519793,0.117404556,-1.004091248,1.250777546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9545182,1.911675,1.789045,-2.200877,0.3259536,-0.9372754,0.1019248,-0.06986006,323.3607,165.7584,197.1497,,143.3607,-14.2416,17.1497,,-12.89115721,2.517568736,-4.909628825,,0.366114926,3.121463258,-2.615570718,4.088860867,,0.859644303,0.083148821,-0.959760118,1.291139628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9766966,1.911521,1.788978,-2.20153,0.3256875,-0.9373343,0.1021571,-0.06997164,323.3975,165.7422,197.1773,,143.3975,-14.2578,17.1773,,-12.92795721,2.501368736,-4.882028825,,1.202052546,-2.204455093,2.516296242,3.554757285,,0.983121339,0.046377546,-0.926156622,1.351460149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9985807,1.911049,1.788903,-2.20209,0.325678,-0.9372524,0.1026299,-0.07041955,323.4138,165.6617,197.2602,,143.4138,-14.3383,17.2602,,-12.94425721,2.420868736,-4.799128825,,0.335596466,-1.728774766,2.00222807,2.666496657,,1.07550571,-0.080210469,-0.829151329,1.36038163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.020308,1.911081,1.788916,-2.202219,0.3256899,-0.937247,0.1026793,-0.07036451,323.4122,165.6665,197.2649,,143.4122,-14.3335,17.2649,,-12.94265721,2.425668736,-4.794428825,,-0.355792335,1.893209391,-2.330012948,3.023208614,,1.069296337,-0.119455122,-0.907612756,1.407631023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.031751,1.911047,1.788918,-2.202238,0.325678,-0.9373035,0.1023282,-0.07017833,323.4049,165.7073,197.2091,,143.4049,-14.2927,17.2091,,-12.93535721,2.466468736,-4.850228825,,0.009854886,3.257904559,-4.363180942,5.44530873,,1.144842353,0.112386642,-1.160452971,1.6339969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.053647,1.910853,1.788797,-2.202645,0.325453,-0.9374543,0.1018432,-0.06991177,323.4193,165.7719,197.1248,,143.4193,-14.2281,17.1248,,-12.94975721,2.531068736,-4.934528825,,2.274655328,0.576738628,-1.802699936,2.959123411,,1.324113277,0.343864657,-1.305956413,1.891306698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.076131,1.910872,1.788714,-2.202736,0.3247854,-0.9376462,0.1018976,-0.07036334,323.5068,165.7315,197.1303,,143.5068,-14.2685,17.1303,,-13.03725721,2.490668736,-4.929028825,,3.146711346,-2.477814633,0.491811721,4.035249239,,1.523539826,0.198589974,-1.079267412,1.877612773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.098323,1.911801,1.789058,-2.201938,0.324427,-0.937723,0.1019093,-0.07097337,323.5601,165.6614,197.1467,,143.5601,-14.3386,17.1467,,-13.09055721,2.420568736,-4.912628825,,2.739885927,-2.014715895,0.14085069,3.403805804,,1.659669097,-0.112497214,-0.720390375,1.812765685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.109694,1.911401,1.788886,-2.202495,0.3241493,-0.9378099,0.1018881,-0.07112395,323.5951,165.6515,197.1415,,143.5951,-14.3485,17.1415,,-13.12555721,2.410668736,-4.917828825,,2.818353864,-3.283050483,1.402464854,4.548455413,,1.696967329,0.0359439,-0.867133307,1.906019479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13201,1.91176,1.789069,-2.202201,0.323847,-0.9378092,0.1022069,-0.07204714,323.6522,165.5244,197.2143,,143.6522,-14.4756,17.2143,,-13.18265721,2.283568736,-4.845028825,,1.880763149,-3.810863397,0.785653426,4.321712758,,1.705439214,0.350998445,-1.196968434,2.112925994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.143483,1.911729,1.789094,-2.202227,0.323743,-0.9378472,0.1020051,-0.07230531,323.666,165.5023,197.1949,,143.666,-14.4977,17.1949,,-13.19645721,2.261468736,-4.864428825,,1.531276264,0.625104465,-2.472160094,2.974413912,,1.764850191,0.355081384,-1.198020745,2.162413626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.165583,1.911528,1.789079,-2.202464,0.323303,-0.9380586,0.1016737,-0.07199737,323.7071,165.5725,197.123,,143.7071,-14.4275,17.123,,-13.23755721,2.331668736,-4.936328825,,1.805945206,5.024645852,-5.033678315,7.338012088,,1.880713016,0.082665533,-0.875492646,2.076150864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.18767,1.911479,1.78904,-2.202493,0.3227614,-0.9383839,0.1009244,-0.07123941,323.7458,165.7243,196.9725,,143.7458,-14.2757,16.9725,,-13.27625721,2.483468736,-5.086828825,,2.050600162,3.602277775,-2.752478412,4.975691268,,1.787377067,-0.068472694,-0.622855059,1.894031076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.209977,1.911367,1.789058,-2.20251,0.322349,-0.9384943,0.1012586,-0.07117819,323.7982,165.7317,197.0017,,143.7982,-14.2683,17.0017,,-13.32865721,2.490868736,-5.057628825,,2.135795457,-0.922670189,2.049830768,3.100765823,,1.583037563,0.118987855,-0.659478425,1.719033981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.231979,1.911245,1.789036,-2.202549,0.3220878,-0.938516,0.1016868,-0.07146307,323.8405,165.6838,197.0631,,143.8405,-14.3162,17.0631,,-13.37095721,2.442968736,-4.996228825,,1.686929562,-0.274720605,0.608638123,1.814288599,,1.390007698,0.349579413,-0.771943073,1.627950637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
