Time,x,y,z,wquat,xquat,yquat,zquat,xrot,yrot,zrot,,,,,,127.1532442,-1.122246215,4.673249402,,v_roll,v_pitch,v_yaw,V,,vxavg,vyavg,vzavg,avg speed,,Phase,GFO,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8754355,1.898934,1.780983,-2.049572,0.4428834,-0.8956608,0.04011139,-0.006102295,307.5467,175.6276,187.2832,,127.5467,-4.3724,7.2832,,-0.393455777,-3.250153785,2.609950598,,-0.168776126,-0.593194698,0.006936185,0.616776654,,0.759696889,-1.529320321,1.248677271,2.115456201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8973661,1.899046,1.780906,-2.04999,0.4428948,-0.8956574,0.04003627,-0.006259006,307.5461,175.6073,187.2838,,127.5461,-4.3927,7.2838,,-0.392855777,-3.270453785,2.610550598,,-0.013679516,-1.807327144,1.007635906,2.069286992,,0.957534069,-1.79376896,1.620059251,2.599821254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9086342,1.899217,1.780929,-2.050053,0.4429067,-0.8956478,0.04009522,-0.006408401,307.5461,175.577,187.3062,,127.5461,-4.423,7.3062,,-0.392855777,-3.300753785,2.632950598,,-0.176601823,-2.008436947,1.344924571,2.423598414,,1.142712717,-1.96408231,1.913882542,2.970918723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9310009,1.899438,1.780874,-2.050304,0.4429795,-0.8956104,0.04009838,-0.006574821,307.5382,175.5473,187.3219,,127.5382,-4.4527,7.3219,,-0.384955777,-3.330453785,2.648650598,,-0.012951112,-0.816375195,0.440639803,0.927792879,,1.30902316,-1.543937929,1.60223097,2.581555741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9533045,1.899883,1.780843,-2.050255,0.4429255,-0.8956364,0.0401073,-0.006617742,307.5455,175.5405,187.3259,,127.5455,-4.4595,7.3259,,-0.392255777,-3.337253785,2.652650598,,0.937975909,-0.225319424,-0.425026892,1.054142072,,1.452761046,-0.880583929,1.032477528,1.98795185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9752591,1.899956,1.780775,-2.050837,0.4426601,-0.8957742,0.03993752,-0.006751493,307.5795,175.5373,187.3033,,127.5795,-4.4627,7.3033,,-0.426255777,-3.340453785,2.630050598,,1.48733288,-0.081846316,-0.987794806,1.787343418,,1.599009158,-0.371671819,0.66548871,1.771396469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.997559,1.900252,1.780744,-2.051175,0.4424114,-0.895903,0.03978837,-0.006856615,307.6113,175.5369,187.2822,,127.6113,-4.4631,7.2822,,-0.458055777,-3.340853785,2.608950598,,2.237218399,-0.885446432,0.897107993,2.56787155,,1.744613074,-0.050277171,0.549041528,1.829658211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.019636,1.900493,1.780659,-2.051773,0.441903,-0.8961368,0.04014907,-0.006969776,307.6786,175.4982,187.3427,,127.6786,-4.5018,7.3427,,-0.525355777,-3.379553785,2.669450598,,3.215712932,-2.194328053,3.419696387,5.181718696,,1.873389865,0.045492363,0.693873406,1.99827912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.041983,1.901015,1.780652,-2.052056,0.4413396,-0.8963892,0.04068056,-0.007127276,307.7542,175.4393,187.4343,,127.7542,-4.5607,7.4343,,-0.600955777,-3.438453785,2.761050598,,3.376895473,-2.331826703,3.926718739,5.679785108,,2.029539095,0.063205349,0.907582752,2.224124616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.063877,1.90141,1.780701,-2.052392,0.4407851,-0.896638,0.04119398,-0.007207319,307.828,175.3949,187.5165,,127.828,-4.6051,7.5165,,-0.674755777,-3.482853785,2.843250598,,3.461726621,0.379488086,1.2628557,3.704371327,,2.177113772,0.010143419,1.14884262,2.461659324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.075108,1.901628,1.780714,-2.052573,0.4404618,-0.8967966,0.0412287,-0.007042093,307.8679,175.4262,187.5027,,127.8679,-4.5738,7.5027,,-0.714655777,-3.451553785,2.829450598,,3.217999288,2.852928788,-1.130522935,4.446662141,,2.266516369,-0.197571246,1.490420299,2.719831524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.086345,1.901968,1.780797,-2.052654,0.4401961,-0.896926,0.04128251,-0.00685118,307.9003,175.459,187.4911,,127.9003,-4.541,7.4911,,-0.747055777,-3.418753785,2.817850598,,2.922470313,3.73780065,-1.686170279,5.035390416,,2.285707152,-0.427379105,1.865938294,2.981415067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.108225,1.901994,1.780594,-2.05341,0.4396514,-0.8971963,0.0413002,-0.006309984,307.9651,175.5587,187.4399,,127.9651,-4.4413,7.4399,,-0.811855777,-3.319053785,2.766650598,,2.194646722,3.32028016,-0.939460509,4.089415682,,2.234900085,-0.623642079,2.263443816,3.241432668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.119502,1.902041,1.780566,-2.053696,0.4395173,-0.8972569,0.04144013,-0.006116929,307.9812,175.5822,187.4451,,127.9812,-4.4178,7.4451,,-0.827955777,-3.295553785,2.771850598,,1.505322155,0.65180925,1.889750598,2.502400329,,2.130888075,-0.614185036,2.354245848,3.23425119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.141802,1.902305,1.780486,-2.054289,0.4392514,-0.8973632,0.04197231,-0.005992645,308.0165,175.5648,187.5191,,128.0165,-4.4352,7.5191,,-0.863255777,-3.312953785,2.845850598,,2.016260474,-1.577058326,3.785857413,4.570025778,,1.988478656,-0.167508309,1.903275507,2.757637405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.164255,1.902976,1.780505,-2.054399,0.4388464,-0.8975337,0.04254689,-0.006080278,308.0715,175.5115,187.6146,,128.0715,-4.4885,7.6146,,-0.918255777,-3.366253785,2.941350598,,1.74186898,-2.698242039,4.481302848,5.513319586,,1.899159528,0.265510642,1.453670879,2.406337848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.186785,1.903268,1.780473,-2.054937,0.4386962,-0.8975782,0.04313022,-0.006223192,308.0948,175.4434,187.7207,,128.0948,-4.5566,7.7207,,-0.941555777,-3.434353785,3.047450598,,1.149282653,-3.516665836,4.881149635,6.124819261,,1.860940886,0.066877848,1.654857701,2.491210075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.208851,1.903688,1.780387,-2.055223,0.438518,-0.8976367,0.04368088,-0.006508763,308.1227,175.3549,187.8322,,128.1227,-4.6451,7.8322,,-0.969455777,-3.522853785,3.158950598,,1.187456092,-3.212821593,4.456707039,5.620899589,,1.858821895,-0.550962426,2.282095715,2.994451416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.220197,1.903526,1.78029,-2.055814,0.4384324,-0.8976661,0.04392632,-0.006564614,308.1353,175.3275,187.876,,128.1353,-4.6725,7.876,,-0.982055777,-3.550253785,3.202750598,,0.826841,-2.633264974,4.179776979,5.008820825,,1.856514338,-1.104549064,2.79929217,3.535917246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.24229,1.9041,1.780368,-2.05593,0.4383681,-0.8976698,0.04447147,-0.006686066,308.1473,175.2645,187.9754,,128.1473,-4.7355,7.9754,,-0.994055777,-3.613253785,3.302150598,,0.885062278,-0.762504879,2.07753441,2.383463478,,1.830819199,-1.252873224,2.829873287,3.595799365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.264377,1.904569,1.780361,-2.056207,0.4381447,-0.8977768,0.04453911,-0.006505328,308.1744,175.2938,187.9678,,128.1744,-4.7062,7.9678,,-1.021155777,-3.583953785,3.294550598,,1.364390485,3.612469399,-2.442918049,4.569392208,,1.832256666,-1.122511688,2.542550504,3.328927762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.286417,1.905083,1.780403,-2.056479,0.4378306,-0.8979475,0.04427065,-0.005892343,308.2075,175.4238,187.8677,,128.2075,-4.5762,7.8677,,-1.054255777,-3.453953785,3.194450598,,2.215746803,3.297419654,-1.91814142,4.411550383,,1.782405073,-1.135545864,2.474858435,3.254436438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.308672,1.905669,1.780363,-2.056752,0.4373156,-0.8981885,0.04449074,-0.005755457,308.2727,175.4393,187.8834,,128.2727,-4.5607,7.8834,,-1.119455777,-3.438453785,3.210150598,,2.964884273,-2.202738229,3.878284381,5.355715097,,1.712692796,-1.362513229,2.656821385,3.44215903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.330938,1.906431,1.78044,-2.056756,0.4368462,-0.8983729,0.04532674,-0.006093743,308.3395,175.3257,188.0404,,128.3395,-4.6743,8.0404,,-1.186255777,-3.552053785,3.367150598,,3.190452412,-5.178994775,7.023571246,9.291476014,,1.602780779,-1.673511189,2.899046,3.711335829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
